Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MOBP,2465.833185838953,-7.282556339972565,0.6501673707962428,-14.0345784442945,9.576417381005881e-45,1.6863113366213257e-40
NKX6-2,478.5799784954752,-5.756251429978342,0.4672405522579408,-13.834162082817599,1.5857346384885993e-43,1.3961600624572872e-39
MOG,3668.115114678839,-5.873214479465295,0.4988153037765312,-13.202612265126449,8.474447424361576e-40,4.9742181565194337e-36
MBP,138198.8383200001,-5.894130314536091,0.5676734612253334,-13.130579970254804,2.1996537725124543e-39,9.683425820042952e-36
HAPLN2,1932.5670564624224,-6.162404751806914,0.5877112034242679,-13.032968301273794,7.945539522889e-39,2.798260109171048e-35
CARNS1,1614.113513887131,-5.376327076223147,0.4863206259073873,-12.83248056903037,1.0785480052952403e-37,3.165358637540648e-34
EFHD1,3064.4976649592545,-3.7705740345754495,0.32658431764349266,-12.686546148384812,7.02144426505331e-37,1.7662944580474818e-33
CNDP1,1734.730766750733,-5.223834554389712,0.48291435064436755,-12.659436117392852,9.92093794006721e-37,2.1837224523330437e-33
SLC5A11,441.0705021501485,-6.224513020538964,0.5701570718117955,-12.644868468841732,1.1942422972787741e-36,2.336601401420215e-33
GRM3,998.227805374599,-7.0293998227047405,0.7344670520048191,-12.602745480850691,2.0392060982503284e-36,3.590838018409004e-33
CAPN3,1808.7646938183436,-4.68597016375002,0.44350591555876423,-12.035916837114437,2.300638318317628e-33,3.6829036497504645e-30
RAB40B,747.006247898759,-2.7848419154690514,0.2432692732149025,-11.934663870525576,7.80736282578941e-33,1.1456654333277145e-29
PPP1R14A,2632.3842270986624,-4.888826514612873,0.4741660636065361,-11.920816316929093,9.220068248503715e-33,1.2488937060607838e-29
PLP1,55762.144474560424,-5.84301396930842,0.6376063204235827,-11.60543567193702,3.867130387706778e-31,4.864021356937761e-28
CLDN11,2360.0517443147146,-4.544327014630379,0.444031600736658,-11.5672682619604,6.0374431602811465e-31,7.087555773959381e-28
GPR62,419.07633225757286,-6.359999583157132,0.657426599640432,-11.511670820418203,1.152240996475049e-30,1.2681132316830711e-27
SEC14L5,507.5989946615809,-5.262518304958304,0.5295650067059365,-11.453715344344156,2.2527846828350593e-30,2.333487381178974e-27
SH3GL3,579.7570403148401,-7.3310703132239805,0.9119916115034157,-11.445869356000369,2.4661967838808886e-30,2.4126255092976983e-27
LRP2,353.39798235685083,-6.202644272923216,0.6289109188154669,-11.40391878493271,3.997126272028889e-30,3.704494553902985e-27
RBP7,172.76775414455875,-4.679578983372852,0.47274284846236786,-11.379344507345024,5.299656344157362e-30,4.666082428213349e-27
EDIL3,1846.4183377804559,-5.240991100506292,0.5758908930921586,-11.36612331358854,6.1666041905481826e-30,5.17084443768395e-27
TMEM125,1322.402890797529,-6.708258741043822,0.7592118917434408,-11.336588479651988,8.64491857282454e-30,6.919471415857605e-27
FAM107B,1019.497158816817,-4.384452103341739,0.44551784552858775,-11.3318888809494,9.121611548492224e-30,6.983585119886937e-27
CLMN,578.0759791731061,-3.3222410672534886,0.3155674983678487,-11.2938804897781,1.4068527681752207e-29,1.0322195997832276e-26
SEMA4D,1347.9893509868466,-3.5125572061433106,0.35285586162785015,-11.23578402504173,2.720678087703687e-29,1.916336817854969e-26
LGI3,743.0516855859406,-5.80739904958201,0.617662051501303,-11.183465636129602,4.913303108684356e-29,3.3276290169547236e-26
NKAIN2,221.05634905232623,-7.880164715030536,0.8914178750789173,-11.17857531823313,5.191672164824736e-29,3.385931672236992e-26
TMEM144,3653.5706543986885,-5.246034386191773,0.5669587509434376,-11.045679137152591,2.3002168574400678e-28,1.4465899515236482e-25
MAG,10637.290060698951,-5.516236746606143,0.6124779205518558,-11.036343954340595,2.5520716256682344e-28,1.5496354915997223e-25
AK5,664.5248029444087,-5.73285279312526,0.6610985964535635,-10.905127611387627,1.0894030760975082e-27,6.394432922333674e-25
DBNDD2,464.3415599693962,-4.198323614861917,0.437051010023229,-10.804070753165437,3.2927398258269886e-27,1.870382438483466e-24
PIP4K2A,3891.8490313379916,-3.908700088175201,0.41077997102080477,-10.794482745124531,3.655148681076285e-27,2.0113597851585095e-24
HHATL,1526.5085619888168,-5.507837281942495,0.6459895137073333,-10.762840888141561,5.155585868306124e-27,2.7510518653031073e-24
LOC100506725,280.8711679098077,-3.091449649190935,0.30754362565785115,-10.751019868218572,5.86099479414116e-27,3.0354781567656375e-24
PAIP2B,660.5690455897011,-4.935899516833192,0.5815226730268761,-10.714725140500965,8.681474296749468e-27,4.3677737397560396e-24
OPALIN,1733.1399325934115,-9.17525753361514,1.469939745115246,-10.684968402536331,1.1968980658821577e-26,5.8544939005885876e-24
KLK6,2439.395801587244,-5.078332399073292,0.5604291839395091,-10.579471552124946,3.710450057176883e-26,1.765873379914263e-23
TPPP,2088.5466122167745,-3.7285926634907773,0.3984054759261901,-10.544375702818751,5.392982974233782e-26,2.4990799261390174e-23
ZNF536,659.5153958502053,-5.043325653514144,0.5843771307729072,-10.496756918619186,8.939889050249401e-26,4.0364745201497875e-23
RNASE1,3927.8278309428533,-3.21966202355594,0.32913474424198746,-10.489426213759156,9.661330855806233e-26,4.253159375997299e-23
FA2H,737.9147580113944,-5.55747913350509,0.6501338748369193,-10.48095767706272,1.0566823574924229e-25,4.538321861727823e-23
CNTN2,3199.5044147300014,-4.513476701388572,0.5051111327658687,-10.410462770599315,2.221391595889626e-25,9.313448717147721e-23
GJC2,77.5997170061053,-5.164445263282003,0.5679879594017659,-10.219650767222005,1.619231819302368e-24,6.630942582812883e-22
